source_text	source_dataset	source_id	target_text	target_dataset	target_id	pair_type	llm_confidence	llm_model	llm_reasoning	cluster_id	cluster_size	is_cross_source
Average monthly beer plus cider intake	Israeli10K	il10k_alcohol_monthly_beer_cider_intake_number	ACE touchscreen question In an average MONTH, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)	UKBB	ukbb_4429	questionnaire_match	0.6188	sentence-transformers/all-MiniLM-L6-v2	Cluster 139 (size 3, sim=0.6188): Israeli10K ↔ UKBB semantic match	139	3	True
Average monthly intake of other alcoholic drinks	Israeli10K	il10k_alcohol_monthly_other_intake_choice	Average monthly intake of other alcoholic drinks	Israeli10K	il10k_alcohol_monthly_other_intake_number	questionnaire_match	0.6175	sentence-transformers/all-MiniLM-L6-v2	Cluster 140 (size 3, sim=0.6175): Israeli10K ↔ Israeli10K semantic match	140	3	False
Average monthly intake of other alcoholic drinks	Israeli10K	il10k_alcohol_monthly_other_intake_choice	ACE touchscreen question In an average MONTH, how many glasses of other alcoholic drinks (such as alcopops) would you drink?	UKBB	ukbb_4462	questionnaire_match	0.6175	sentence-transformers/all-MiniLM-L6-v2	Cluster 140 (size 3, sim=0.6175): Israeli10K ↔ UKBB semantic match	140	3	True
Average monthly intake of other alcoholic drinks	Israeli10K	il10k_alcohol_monthly_other_intake_number	ACE touchscreen question In an average MONTH, how many glasses of other alcoholic drinks (such as alcopops) would you drink?	UKBB	ukbb_4462	questionnaire_match	0.6175	sentence-transformers/all-MiniLM-L6-v2	Cluster 140 (size 3, sim=0.6175): Israeli10K ↔ UKBB semantic match	140	3	True
Frequency of stair climbing in last 4 weeks	Israeli10K	il10k_activity_staires_daily	ACE touchscreen question At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)	UKBB	ukbb_943	questionnaire_match	0.6138	sentence-transformers/all-MiniLM-L6-v2	Cluster 143 (size 2, sim=0.6138): Israeli10K ↔ UKBB semantic match	143	2	True
Average weekly red wine intake	Israeli10K	il10k_alcohol_weekly_red_intake_choice	Average weekly red wine intake	Israeli10K	il10k_alcohol_weekly_red_intake_number	questionnaire_match	0.6119	sentence-transformers/all-MiniLM-L6-v2	Cluster 144 (size 3, sim=0.6119): Israeli10K ↔ Israeli10K semantic match	144	3	False
Average weekly red wine intake	Israeli10K	il10k_alcohol_weekly_red_intake_choice	ACE touchscreen question In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_1568	questionnaire_match	0.6119	sentence-transformers/all-MiniLM-L6-v2	Cluster 144 (size 3, sim=0.6119): Israeli10K ↔ UKBB semantic match	144	3	True
Average weekly red wine intake	Israeli10K	il10k_alcohol_weekly_red_intake_number	ACE touchscreen question In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_1568	questionnaire_match	0.6119	sentence-transformers/all-MiniLM-L6-v2	Cluster 144 (size 3, sim=0.6119): Israeli10K ↔ UKBB semantic match	144	3	True
Average weekly beer plus cider intake	Israeli10K	il10k_alcohol_weekly_beer_cider_intake_choice	Average weekly beer plus cider intake	Israeli10K	il10k_alcohol_weekly_beer_cider_intake_number	questionnaire_match	0.6113	sentence-transformers/all-MiniLM-L6-v2	Cluster 145 (size 3, sim=0.6113): Israeli10K ↔ Israeli10K semantic match	145	3	False
Average weekly beer plus cider intake	Israeli10K	il10k_alcohol_weekly_beer_cider_intake_choice	ACE touchscreen question In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)	UKBB	ukbb_1588	questionnaire_match	0.6113	sentence-transformers/all-MiniLM-L6-v2	Cluster 145 (size 3, sim=0.6113): Israeli10K ↔ UKBB semantic match	145	3	True
Average weekly beer plus cider intake	Israeli10K	il10k_alcohol_weekly_beer_cider_intake_number	ACE touchscreen question In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)	UKBB	ukbb_1588	questionnaire_match	0.6113	sentence-transformers/all-MiniLM-L6-v2	Cluster 145 (size 3, sim=0.6113): Israeli10K ↔ UKBB semantic match	145	3	True
Drive faster than motorway speed limit	Israeli10K	il10k_activity_driving_fast_frequency	ACE touchscreen question How often do you drive faster than the speed limit on the motorway?	UKBB	ukbb_1100	questionnaire_match	0.6089	sentence-transformers/all-MiniLM-L6-v2	Cluster 147 (size 2, sim=0.6089): Israeli10K ↔ UKBB semantic match	147	2	True
Wheeze or whistling in the chest in last year	Israeli10K	il10k_health_breathing_past_year_wheezing	ACE touchscreen question In the last year have you ever had wheeze or whistling in the chest?	UKBB	ukbb_2316	questionnaire_match	0.6064	sentence-transformers/all-MiniLM-L6-v2	Cluster 149 (size 2, sim=0.6064): Israeli10K ↔ UKBB semantic match	149	2	True
Weight change compared with 1 year ago	Israeli10K	il10k_health_general_past_year_weight_change	ACE touchscreen question Compared with one year ago, has your weight changed?	UKBB	ukbb_2306	questionnaire_match	0.5993	sentence-transformers/all-MiniLM-L6-v2	Cluster 150 (size 2, sim=0.5993): Israeli10K ↔ UKBB semantic match	150	2	True
Bone density scan (e.g. DEXA)	Arivale	arivale_e3e7b2f4ec23	Skin Condition (Abnormal Moles)	Arivale	arivale_1bbdf0ba14ba	questionnaire_match	0.5977	sentence-transformers/all-MiniLM-L6-v2	Cluster 152 (size 3, sim=0.5977): Arivale ↔ Arivale semantic match	152	3	False
Bone density scan (e.g. DEXA)	Arivale	arivale_e3e7b2f4ec23	Mole biopsy	Israeli10K	il10k_mole_biopsy_yn	questionnaire_match	0.5977	sentence-transformers/all-MiniLM-L6-v2	Cluster 152 (size 3, sim=0.5977): Arivale ↔ Israeli10K semantic match	152	3	True
Skin Condition (Abnormal Moles)	Arivale	arivale_1bbdf0ba14ba	Mole biopsy	Israeli10K	il10k_mole_biopsy_yn	questionnaire_match	0.5977	sentence-transformers/all-MiniLM-L6-v2	Cluster 152 (size 3, sim=0.5977): Arivale ↔ Israeli10K semantic match	152	3	True
How many servings of sugary drinks (including soda, energy drinks, sweetened tea or coffee, etc) do you have each day?	Arivale	arivale_54bd57828842	ACE touchscreen question How many cups of tea do you drink each DAY? (Include black and green tea)	UKBB	ukbb_1488	questionnaire_match	0.5974	sentence-transformers/all-MiniLM-L6-v2	Cluster 153 (size 3, sim=0.5974): Arivale ↔ UKBB semantic match	153	3	True
How many servings of sugary drinks (including soda, energy drinks, sweetened tea or coffee, etc) do you have each day?	Arivale	arivale_54bd57828842	ACE touchscreen question How many cups of coffee do you drink each DAY? (Include decaffeinated coffee)	UKBB	ukbb_1498	questionnaire_match	0.5974	sentence-transformers/all-MiniLM-L6-v2	Cluster 153 (size 3, sim=0.5974): Arivale ↔ UKBB semantic match	153	3	True
ACE touchscreen question How many cups of tea do you drink each DAY? (Include black and green tea)	UKBB	ukbb_1488	ACE touchscreen question How many cups of coffee do you drink each DAY? (Include decaffeinated coffee)	UKBB	ukbb_1498	questionnaire_match	0.5974	sentence-transformers/all-MiniLM-L6-v2	Cluster 153 (size 3, sim=0.5974): UKBB ↔ UKBB semantic match	153	3	False
I rarely wake up feeling rested.	Arivale	arivale_9464cbfb3cbb	Do you feel the need to rest during the day?	Israeli10K	il10k_mlhfq_rest_during_day	questionnaire_match	0.5944	sentence-transformers/all-MiniLM-L6-v2	Cluster 154 (size 2, sim=0.5944): Arivale ↔ Israeli10K semantic match	154	2	True
Do you usually take sugar in tea?	Arivale	arivale_d53bb9034eb7	Tea intake	Israeli10K	il10k_diet_tea_intake_choice	questionnaire_match	0.5925	sentence-transformers/all-MiniLM-L6-v2	Cluster 155 (size 3, sim=0.5925): Arivale ↔ Israeli10K semantic match	155	3	True
Do you usually take sugar in tea?	Arivale	arivale_d53bb9034eb7	Tea intake	Israeli10K	il10k_diet_tea_intake_number	questionnaire_match	0.5925	sentence-transformers/all-MiniLM-L6-v2	Cluster 155 (size 3, sim=0.5925): Arivale ↔ Israeli10K semantic match	155	3	True
Tea intake	Israeli10K	il10k_diet_tea_intake_choice	Tea intake	Israeli10K	il10k_diet_tea_intake_number	questionnaire_match	0.5925	sentence-transformers/all-MiniLM-L6-v2	Cluster 155 (size 3, sim=0.5925): Israeli10K ↔ Israeli10K semantic match	155	3	False
Alcohol intake frequency	Israeli10K	il10k_alcohol_current_frequency	ACE touchscreen question About how often do you drink alcohol?	UKBB	ukbb_1558	questionnaire_match	0.5803	sentence-transformers/all-MiniLM-L6-v2	Cluster 160 (size 2, sim=0.5803): Israeli10K ↔ UKBB semantic match	160	2	True
Leg pain on walking : action taken	Israeli10K	il10k_health_legs_pain_action	ACE touchscreen question Do you get a pain in either leg on walking?	UKBB	ukbb_4728	questionnaire_match	0.5763	sentence-transformers/all-MiniLM-L6-v2	Cluster 161 (size 3, sim=0.5763): Israeli10K ↔ UKBB semantic match	161	3	True
Leg pain on walking : action taken	Israeli10K	il10k_health_legs_pain_action	ACE touchscreen question What do you do if you get pain when you are walking?	UKBB	ukbb_5507	questionnaire_match	0.5763	sentence-transformers/all-MiniLM-L6-v2	Cluster 161 (size 3, sim=0.5763): Israeli10K ↔ UKBB semantic match	161	3	True
ACE touchscreen question Do you get a pain in either leg on walking?	UKBB	ukbb_4728	ACE touchscreen question What do you do if you get pain when you are walking?	UKBB	ukbb_5507	questionnaire_match	0.5763	sentence-transformers/all-MiniLM-L6-v2	Cluster 161 (size 3, sim=0.5763): UKBB ↔ UKBB semantic match	161	3	False
Frequency of friend/family visits	Israeli10K	il10k_activity_social_visit_frequency	ACE touchscreen question How often do you visit friends or family or have them visit you?	UKBB	ukbb_1031	questionnaire_match	0.5747	sentence-transformers/all-MiniLM-L6-v2	Cluster 162 (size 3, sim=0.5747): Israeli10K ↔ UKBB semantic match	162	3	True
Frequency of friend/family visits	Israeli10K	il10k_activity_social_visit_frequency	ACE touchscreen question How often do you visit friends or family or have them visit you?	UKBB	ukbb_10740	questionnaire_match	0.5747	sentence-transformers/all-MiniLM-L6-v2	Cluster 162 (size 3, sim=0.5747): Israeli10K ↔ UKBB semantic match	162	3	True
ACE touchscreen question How often do you visit friends or family or have them visit you?	UKBB	ukbb_1031	ACE touchscreen question How often do you visit friends or family or have them visit you?	UKBB	ukbb_10740	questionnaire_match	0.5747	sentence-transformers/all-MiniLM-L6-v2	Cluster 162 (size 3, sim=0.5747): UKBB ↔ UKBB semantic match	162	3	False
Use of sun/uv protection	Israeli10K	il10k_skin_current_sunscreen_use	ACE touchscreen question What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?	UKBB	ukbb_1727	questionnaire_match	0.5728	sentence-transformers/all-MiniLM-L6-v2	Cluster 166 (size 3, sim=0.5728): Israeli10K ↔ UKBB semantic match	166	3	True
Use of sun/uv protection	Israeli10K	il10k_skin_current_sunscreen_use	ACE touchscreen question Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?	UKBB	ukbb_2267	questionnaire_match	0.5728	sentence-transformers/all-MiniLM-L6-v2	Cluster 166 (size 3, sim=0.5728): Israeli10K ↔ UKBB semantic match	166	3	True
ACE touchscreen question What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?	UKBB	ukbb_1727	ACE touchscreen question Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?	UKBB	ukbb_2267	questionnaire_match	0.5728	sentence-transformers/all-MiniLM-L6-v2	Cluster 166 (size 3, sim=0.5728): UKBB ↔ UKBB semantic match	166	3	False
Nap during day	Israeli10K	il10k_sleep_nap	ACE touchscreen question Do you have a nap during the day?	UKBB	ukbb_1190	questionnaire_match	0.5651	sentence-transformers/all-MiniLM-L6-v2	Cluster 169 (size 2, sim=0.5651): Israeli10K ↔ UKBB semantic match	169	2	True
Frequency of walking for pleasure in last 4 weeks	Israeli10K	il10k_activity_walking_pleasure_monthly	ACE touchscreen question How many times in the last 4 weeks did you go walking for pleasure?	UKBB	ukbb_971	questionnaire_match	0.5609	sentence-transformers/all-MiniLM-L6-v2	Cluster 170 (size 2, sim=0.5609): Israeli10K ↔ UKBB semantic match	170	2	True
Parkinson's disease	Arivale	arivale_600fbbc23979	Huntington's disease	Arivale	arivale_3d848da6a5c0	questionnaire_match	0.5581	sentence-transformers/all-MiniLM-L6-v2	Cluster 171 (size 3, sim=0.5581): Arivale ↔ Arivale semantic match	171	3	False
Parkinson's disease	Arivale	arivale_600fbbc23979	Parkinson family number	Israeli10K	il10k_parkinson_family_number	questionnaire_match	0.5581	sentence-transformers/all-MiniLM-L6-v2	Cluster 171 (size 3, sim=0.5581): Arivale ↔ Israeli10K semantic match	171	3	True
Huntington's disease	Arivale	arivale_3d848da6a5c0	Parkinson family number	Israeli10K	il10k_parkinson_family_number	questionnaire_match	0.5581	sentence-transformers/all-MiniLM-L6-v2	Cluster 171 (size 3, sim=0.5581): Arivale ↔ Israeli10K semantic match	171	3	True
Wants to stop smoking	Israeli10K	il10k_smoking_stop_wish	ACE touchscreen question Do you want to stop smoking?	UKBB	ukbb_3496	questionnaire_match	0.5551	sentence-transformers/all-MiniLM-L6-v2	Cluster 172 (size 2, sim=0.5551): Israeli10K ↔ UKBB semantic match	172	2	True
Hot drink temperature	Israeli10K	il10k_diet_hot_drink_temperature	ACE touchscreen question How do you like your hot drinks? (Such as coffee or tea)	UKBB	ukbb_1518	questionnaire_match	0.5446	sentence-transformers/all-MiniLM-L6-v2	Cluster 174 (size 2, sim=0.5446): Israeli10K ↔ UKBB semantic match	174	2	True
Suffer from 'nerves'	Israeli10K	il10k_health_mental_current_nerves	ACE touchscreen question Do you suffer from 'nerves'?	UKBB	ukbb_2010	questionnaire_match	0.5398	sentence-transformers/all-MiniLM-L6-v2	Cluster 176 (size 2, sim=0.5398): Israeli10K ↔ UKBB semantic match	176	2	True
Number of days/week walked 10+ minutes	Israeli10K	il10k_activity_walking_10min_days_weekly	Digits entered by participant	UKBB	ukbb_23322	questionnaire_match	0.5374	sentence-transformers/all-MiniLM-L6-v2	Cluster 178 (size 3, sim=0.5374): Israeli10K ↔ UKBB semantic match	178	3	True
Number of days/week walked 10+ minutes	Israeli10K	il10k_activity_walking_10min_days_weekly	ACE touchscreen question In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure...	UKBB	ukbb_864	questionnaire_match	0.5374	sentence-transformers/all-MiniLM-L6-v2	Cluster 178 (size 3, sim=0.5374): Israeli10K ↔ UKBB semantic match	178	3	True
Digits entered by participant	UKBB	ukbb_23322	ACE touchscreen question In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure...	UKBB	ukbb_864	questionnaire_match	0.5374	sentence-transformers/all-MiniLM-L6-v2	Cluster 178 (size 3, sim=0.5374): UKBB ↔ UKBB semantic match	178	3	False
To what extent do you feel that physical pain prevents you from doing what you need to do?	Arivale	arivale_d454eaca3c37	Do you feel physical difficulty working for a living?	Israeli10K	il10k_mlhfq_difficulty_working	questionnaire_match	0.537	sentence-transformers/all-MiniLM-L6-v2	Cluster 179 (size 2, sim=0.537): Arivale ↔ Israeli10K semantic match	179	2	True
Blood Clot (lung)	Arivale	arivale_02976c4e93ce	ACE touchscreen question What was your age when the blood clot in the lung was first diagnosed?	UKBB	ukbb_4022	questionnaire_match	0.5231	sentence-transformers/all-MiniLM-L6-v2	Cluster 181 (size 2, sim=0.5231): Arivale ↔ UKBB semantic match	181	2	True
Difficulty not smoking for 1 day	Israeli10K	il10k_smoking_current_difficulty_to_avoid_one_day	ACE touchscreen question How easy or difficult would you find it to go without smoking for a whole day?	UKBB	ukbb_3476	questionnaire_match	0.5187	sentence-transformers/all-MiniLM-L6-v2	Cluster 183 (size 2, sim=0.5187): Israeli10K ↔ UKBB semantic match	183	2	True
Frequency of tenseness / restlessness in last 2 weeks	Israeli10K	il10k_health_mental_past_two_week_restless_frequency	ACE touchscreen question Over the past two weeks, how often have you felt tense, fidgety or restless?	UKBB	ukbb_2070	questionnaire_match	0.5168	sentence-transformers/all-MiniLM-L6-v2	Cluster 184 (size 2, sim=0.5168): Israeli10K ↔ UKBB semantic match	184	2	True
General pain for 3+ months	Israeli10K	il10k_health_pain_past_3_months_general	ACE touchscreen question Have you had pains all over the body for more than 3 months?	UKBB	ukbb_2956	questionnaire_match	0.5135	sentence-transformers/all-MiniLM-L6-v2	Cluster 185 (size 2, sim=0.5135): Israeli10K ↔ UKBB semantic match	185	2	True
White fish (e.g. cod, halibut, flounder, etc.)	Arivale	arivale_815cf903d94f	ACE touchscreen question How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)	UKBB	ukbb_1339	questionnaire_match	0.5112	sentence-transformers/all-MiniLM-L6-v2	Cluster 187 (size 2, sim=0.5112): Arivale ↔ UKBB semantic match	187	2	True
Pre pregnancy genetic testing	Israeli10K	il10k_pre_pregnancy_genetic_testing	Participants asked by interviewer if they might be pregnant before the body impedance measures. Impedance measurement was not performed if they answered Yes or Possibly.	UKBB	ukbb_3140	questionnaire_match	0.5097	sentence-transformers/all-MiniLM-L6-v2	Cluster 189 (size 2, sim=0.5097): Israeli10K ↔ UKBB semantic match	189	2	True
Heart Arrhythmias (such as A-fib, SVT)	Arivale	arivale_e4e098f84ac5	Ablation of atrial fibrillation or flutter year	Israeli10K	il10k_ablation_of_atrial_fibrillation_or_flutter_year	questionnaire_match	0.4887	sentence-transformers/all-MiniLM-L6-v2	Cluster 195 (size 2, sim=0.4887): Arivale ↔ Israeli10K semantic match	195	2	True
How tall are you?	Arivale	arivale_fe24eff21e5e	Comparative body size at age 10	Israeli10K	il10k_early_life_comparative_body_weight	questionnaire_match	0.488	sentence-transformers/all-MiniLM-L6-v2	Cluster 196 (size 3, sim=0.488): Arivale ↔ Israeli10K semantic match	196	3	True
How tall are you?	Arivale	arivale_fe24eff21e5e	Comparative height size at age 10	Israeli10K	il10k_early_life_comparative_body_height	questionnaire_match	0.488	sentence-transformers/all-MiniLM-L6-v2	Cluster 196 (size 3, sim=0.488): Arivale ↔ Israeli10K semantic match	196	3	True
Comparative body size at age 10	Israeli10K	il10k_early_life_comparative_body_weight	Comparative height size at age 10	Israeli10K	il10k_early_life_comparative_body_height	questionnaire_match	0.488	sentence-transformers/all-MiniLM-L6-v2	Cluster 196 (size 3, sim=0.488): Israeli10K ↔ Israeli10K semantic match	196	3	False
Alopecia (hair loss)	Arivale	arivale_a3c3fdfd569c	ACE touchscreen question When did you start to grow facial hair?	UKBB	ukbb_2375	questionnaire_match	0.4802	sentence-transformers/all-MiniLM-L6-v2	Cluster 203 (size 3, sim=0.4802): Arivale ↔ UKBB semantic match	203	3	True
Alopecia (hair loss)	Arivale	arivale_a3c3fdfd569c	ACE touchscreen question Which of the following best describes your hair/balding pattern?	UKBB	ukbb_2395	questionnaire_match	0.4802	sentence-transformers/all-MiniLM-L6-v2	Cluster 203 (size 3, sim=0.4802): Arivale ↔ UKBB semantic match	203	3	True
ACE touchscreen question When did you start to grow facial hair?	UKBB	ukbb_2375	ACE touchscreen question Which of the following best describes your hair/balding pattern?	UKBB	ukbb_2395	questionnaire_match	0.4802	sentence-transformers/all-MiniLM-L6-v2	Cluster 203 (size 3, sim=0.4802): UKBB ↔ UKBB semantic match	203	3	False
Duration of strenuous sports	Israeli10K	il10k_activity_strenuous_duration	This field is the mean duration to first press of snap-button summed over rounds in which both cards matched. It gives a crude measure of the raw processing+reaction speed of a participant.	UKBB	ukbb_20023	questionnaire_match	0.4726	sentence-transformers/all-MiniLM-L6-v2	Cluster 206 (size 3, sim=0.4726): Israeli10K ↔ UKBB semantic match	206	3	True
Duration of strenuous sports	Israeli10K	il10k_activity_strenuous_duration	ACE touchscreen question Each time you did strenuous sports, about how long did you spend doing it?	UKBB	ukbb_1001	questionnaire_match	0.4726	sentence-transformers/all-MiniLM-L6-v2	Cluster 206 (size 3, sim=0.4726): Israeli10K ↔ UKBB semantic match	206	3	True
This field is the mean duration to first press of snap-button summed over rounds in which both cards matched. It gives a crude measure of the raw processing+reaction speed of a participant.	UKBB	ukbb_20023	ACE touchscreen question Each time you did strenuous sports, about how long did you spend doing it?	UKBB	ukbb_1001	questionnaire_match	0.4726	sentence-transformers/all-MiniLM-L6-v2	Cluster 206 (size 3, sim=0.4726): UKBB ↔ UKBB semantic match	206	3	False
Types of transport used (excluding work)	Israeli10K	il10k_activity_transport_types	ACE touchscreen question In the last 4 weeks, which forms of transport have you used most often to get about? (Not including any journeys to and from work; you can select more than one answer)	UKBB	ukbb_6162	questionnaire_match	0.4599	sentence-transformers/all-MiniLM-L6-v2	Cluster 209 (size 2, sim=0.4599): Israeli10K ↔ UKBB semantic match	209	2	True
Other neurocognitive condition	Arivale	arivale_97d72368c67d	Estimate of each persons cognitive ability when performing the picture vocabulary task. Value has been scaled to the range 0-1.	UKBB	ukbb_26302	questionnaire_match	0.4325	sentence-transformers/all-MiniLM-L6-v2	Cluster 214 (size 3, sim=0.4325): Arivale ↔ UKBB semantic match	214	3	True
Other neurocognitive condition	Arivale	arivale_97d72368c67d	This is an externally derived summary score of neuroticism, based on 12 neurotic behaviour domains as reported from fields 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020 and 2030 fro...	UKBB	ukbb_20127	questionnaire_match	0.4325	sentence-transformers/all-MiniLM-L6-v2	Cluster 214 (size 3, sim=0.4325): Arivale ↔ UKBB semantic match	214	3	True
Estimate of each persons cognitive ability when performing the picture vocabulary task. Value has been scaled to the range 0-1.	UKBB	ukbb_26302	This is an externally derived summary score of neuroticism, based on 12 neurotic behaviour domains as reported from fields 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020 and 2030 fro...	UKBB	ukbb_20127	questionnaire_match	0.4325	sentence-transformers/all-MiniLM-L6-v2	Cluster 214 (size 3, sim=0.4325): UKBB ↔ UKBB semantic match	214	3	False
Coronary artery disease	Arivale	arivale_7403e39de103	Carotid artery Doppler ultrasound	Israeli10K	il10k_doppler_of_the_carotid_arteries_past_year	questionnaire_match	0.4297	sentence-transformers/all-MiniLM-L6-v2	Cluster 215 (size 2, sim=0.4297): Arivale ↔ Israeli10K semantic match	215	2	True
Falls in the last year	Israeli10K	il10k_health_general_past_year_falling	ACE touchscreen question In the last year have you had any falls?	UKBB	ukbb_2296	questionnaire_match	0.4291	sentence-transformers/all-MiniLM-L6-v2	Cluster 216 (size 2, sim=0.4291): Israeli10K ↔ UKBB semantic match	216	2	True
I start conversations.	Arivale	arivale_c116de3ba981	ACE touchscreen question Do you find it difficult to follow a conversation if there is background noise (such as TV, radio, children playing)?	UKBB	ukbb_2257	questionnaire_match	0.3975	sentence-transformers/all-MiniLM-L6-v2	Cluster 221 (size 2, sim=0.3975): Arivale ↔ UKBB semantic match	221	2	True
Fermented foods (e.g. sauerkraut, kombucha, kimchi, etc.)	Arivale	arivale_02fb3a9cf8c6	Keep kosher	Israeli10K	il10k_extra_diet_kosher	questionnaire_match	0.3838	sentence-transformers/all-MiniLM-L6-v2	Cluster 222 (size 2, sim=0.3838): Arivale ↔ Israeli10K semantic match	222	2	True
I am interested in people.	Arivale	arivale_2a954dad3c8b	ACE touchscreen question Would you be willing for the study organisers to contact you in the future by email?	UKBB	ukbb_10114	questionnaire_match	0.3488	sentence-transformers/all-MiniLM-L6-v2	Cluster 224 (size 2, sim=0.3488): Arivale ↔ UKBB semantic match	224	2	True
